Team 3309 Log File
Date: 03/12/2015
Time: 14:10:03

Timestamp,Heading,Pitch,Roll,LeftEncCount,RightEncCount,TotalCurrent,BatteryVoltage,Power

DISABLED
TELEOP STARTED
14:47:45.391,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14:47:45.415,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14:47:45.431,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14:47:45.455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14:47:45.496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14:47:45.534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14:47:45.560,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14:47:45.594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14:47:45.621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14:47:45.660,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47:45.692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47:45.724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47:45.755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47:45.782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47:45.822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47:45.855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47:45.886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47:45.916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47:45.950,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47:45.967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47:45.996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47:46.031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47:46.055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47:46.090,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47:46.115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47:46.151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47:46.172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47:46.205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47:46.230,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47:46.250,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47:46.283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47:46.311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47:46.334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47:46.354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47:46.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47:46.413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47:46.435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47:46.475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47:46.513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47:46.536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47:46.571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47:46.595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47:46.628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47:46.652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47:46.681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47:46.713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47:46.735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47:46.755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47:46.780,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47:46.814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47:46.836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47:46.873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47:46.895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47:46.930,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47:46.955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47:46.995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47:47.028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47:47.050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47:47.081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47:47.111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47:47.136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47:47.187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47:47.210,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47:47.230,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47:47.250,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47:47.270,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47:47.296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47:47.334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47:47.355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47:47.376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47:47.425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47:47.462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47:47.493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47:47.515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47:47.551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47:47.576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47:47.611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47:47.635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47:47.675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47:47.712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47:47.794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47:47.809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47:47.830,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47:47.854,0.0,0.0,0.0,6.0,4.0,0.0,0.0,0.0
47:47.875,0.0,0.0,0.0,16.0,6.0,0.0,0.0,0.0
47:47.912,0.0,0.0,0.0,45.0,9.0,0.0,0.0,0.0
47:47.933,0.0,0.0,0.0,63.0,23.0,0.0,0.0,0.0
47:47.953,0.0,0.0,0.0,84.0,41.0,0.0,0.0,0.0
47:47.974,0.0,0.0,0.0,106.0,60.0,0.0,0.0,0.0
47:47.994,0.0,0.0,0.0,131.0,81.0,0.0,0.0,0.0
47:48.013,0.0,0.0,0.0,153.0,100.0,0.0,0.0,0.0
47:48.033,0.0,0.0,0.0,177.0,120.0,0.0,0.0,0.0
47:48.073,0.0,0.0,0.0,221.0,160.0,0.0,0.0,0.0
47:48.096,0.0,0.0,0.0,243.0,180.0,0.0,0.0,0.0
47:48.130,0.0,0.0,0.0,289.0,209.0,0.0,0.0,0.0
47:48.153,0.0,0.0,0.0,313.0,217.0,0.0,0.0,0.0
47:48.174,0.0,0.0,0.0,336.0,229.0,0.0,0.0,0.0
47:48.195,0.0,0.0,0.0,360.0,252.0,0.0,0.0,0.0
47:48.210,0.0,0.0,0.0,381.0,275.0,0.0,0.0,0.0
47:48.233,0.0,0.0,0.0,405.0,299.0,0.0,0.0,0.0
47:48.253,0.0,0.0,0.0,428.0,322.0,0.0,0.0,0.0
47:48.273,0.0,0.0,0.0,450.0,344.0,0.0,0.0,0.0
47:48.293,0.0,0.0,0.0,474.0,365.0,0.0,0.0,0.0
47:48.313,0.0,0.0,0.0,497.0,387.0,0.0,0.0,0.0
47:48.333,0.0,0.0,0.0,521.0,397.0,0.0,0.0,0.0
47:48.353,0.0,0.0,0.0,545.0,415.0,0.0,0.0,0.0
47:48.373,0.0,0.0,0.0,567.0,424.0,0.0,0.0,0.0
47:48.394,0.0,0.0,0.0,589.0,431.0,0.0,0.0,0.0
47:48.413,0.0,0.0,0.0,613.0,454.0,0.0,0.0,0.0
47:48.434,0.0,0.0,0.0,636.0,477.0,0.0,0.0,0.0
47:48.453,0.0,0.0,0.0,659.0,502.0,0.0,0.0,0.0
47:48.473,0.0,0.0,0.0,681.0,524.0,0.0,0.0,0.0
47:48.493,0.0,0.0,0.0,704.0,547.0,0.0,0.0,0.0
47:48.513,0.0,0.0,0.0,727.0,566.0,0.0,0.0,0.0
47:48.533,0.0,0.0,0.0,750.0,587.0,0.0,0.0,0.0
47:48.553,0.0,0.0,0.0,774.0,600.0,0.0,0.0,0.0
